Batch #,Order Begins,Order Completed,Customer Arrives,Order Begins Time,Customer Wait Time,Order Completed Time,Order Time,Total Entity Cycle Time,Inter Arrival Time
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,#VALUE!,,#VALUE!,#VALUE!,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
